nohup: ignoring input
[progress] protected-scan: scanned=1
[progress] protected-scan: scanned=2000
[progress] protected-scan: scanned=4000
[progress] protected-scan: scanned=6000
[progress] protected-scan: scanned=8000
[progress] protected-scan: scanned=10000
[progress] protected-scan: scanned=12000
[progress] protected-scan: scanned=14000
[progress] protected-scan: scanned=16000
[progress] protected-scan: scanned=18000
[progress] protected-scan: scanned=20000
[progress] protected-scan: scanned=22000
[progress] protected-scan: scanned=24000
[progress] protected-scan: scanned=26000
[progress] protected-scan: scanned=28000
[progress] protected-scan: scanned=30000
[progress] protected-scan: scanned=32000
[progress] protected-scan: scanned=34000
[progress] protected-scan: scanned=36000
[progress] protected-scan: scanned=38000
[progress] protected-scan: scanned=40000
[progress] protected-scan: scanned=42000
[progress] protected-scan: scanned=44000
[progress] protected-scan: scanned=46000
[progress] protected-scan: scanned=48000
[progress] protected-scan: scanned=50000
[progress] protected-scan: scanned=52000
[progress] protected-scan: scanned=54000
[progress] protected-scan: scanned=56000
[progress] protected-scan: scanned=58000
[progress] protected-scan: scanned=60000
[progress] protected-scan: scanned=62000
[progress] protected-scan: scanned=64000
[progress] protected-scan: scanned=66000
[progress] protected-scan: scanned=68000
[progress] protected-scan: scanned=70000
[progress] protected-scan: scanned=72000
[progress] protected-scan: scanned=74000
[progress] protected-scan: scanned=76000
[progress] protected-scan: scanned=78000
[progress] protected-scan: scanned=80000
[progress] protected-scan: scanned=82000
[progress] protected-scan: scanned=84000
[progress] protected-scan: scanned=86000
[progress] protected-scan: scanned=88000
[progress] protected-scan: scanned=90000
[progress] protected-scan: scanned=92000
[progress] protected-scan: scanned=94000
[progress] protected-scan: scanned=96000
[progress] protected-scan complete: scanned=96197
delete candidates written: reports/delete_candidates.csv (4955 rows)
delete exclusions written: reports/delete_exclusions.csv (92561 rows)
manual protected names matched=9 protected_subtree_ids=92557
