nohup: ignoring input
[progress] verify-start total_selected=4955 offset=0 end=4955
[progress] verify: processed=1/4955
[progress] verify: processed=200/4955
[progress] verify: processed=400/4955
[progress] verify: processed=600/4955
[progress] verify: processed=800/4955
[progress] verify: processed=1000/4955
[progress] verify: processed=1200/4955
[progress] verify: processed=1400/4955
[progress] verify: processed=1600/4955
[progress] verify: processed=1800/4955
[progress] verify: processed=2000/4955
[progress] verify: processed=2200/4955
[progress] verify: processed=2400/4955
[progress] verify: processed=2600/4955
[progress] verify: processed=2800/4955
[progress] verify: processed=3000/4955
[progress] verify: processed=3200/4955
[progress] verify: processed=3400/4955
[progress] verify: processed=3600/4955
[progress] verify: processed=3800/4955
[progress] verify: processed=4000/4955
[progress] verify: processed=4200/4955
[progress] verify: processed=4400/4955
[progress] verify: processed=4600/4955
[progress] verify: processed=4800/4955
[progress] verify-done verified=0 failed=4955 verified_out=reports/verified_ok.csv failed_out=reports/verification_failed.csv
